feature_index,lon,lat,date,z,ccdc_COS,ccdc_COS2,ccdc_COS3,ccdc_INTP,ccdc_SIN,ccdc_SIN2,ccdc_SIN3,ccdc_SLP,ccdc_fit,status,class
0,-64.35081537790192,-14.997373668375412,2016-01-07,0.0,0.0005690249381586909,-0.007012894377112389,0.0,0.20644333958625793,-0.01923401653766632,0.004689013585448265,0.0,0.001036828150972724,0.2057087917507844,unchanged,0
0,-64.35081537790192,-14.997373668375412,2016-01-13,0.0,0.0005690249381586909,-0.007012894377112389,0.0,0.20644333958625793,-0.01923401653766632,0.004689013585448265,0.0,0.001036828150972724,0.205117329244491,unchanged,0
0,-64.35081537790192,-14.997373668375412,2016-01-19,0.0,0.0005690249381586909,-0.007012894377112389,0.0,0.20644333958625793,-0.01923401653766632,0.004689013585448265,0.0,0.001036828150972724,0.20475388356938323,unchanged,0
0,-64.35081537790192,-14.997373668375412,2016-01-25,0.21566249430179596,0.0005690249381586909,-0.007012894377112389,0.0,0.20644333958625793,-0.01923401653766632,0.004689013585448265,0.0,0.001036828150972724,0.20457350990611656,unchanged,0
0,-64.35081537790192,-14.997373668375412,2016-01-31,0.0,0.0005690249381586909,-0.007012894377112389,0.0,0.20644333958625793,-0.01923401653766632,0.004689013585448265,0.0,0.001036828150972724,0.2045251820107938,unchanged,0
0,-64.35081537790192,-14.997373668375412,2016-02-06,0.0,0.0005690249381586909,-0.007012894377112389,0.0,0.20644333958625793,-0.01923401653766632,0.004689013585448265,0.0,0.001036828150972724,0.20455482603206393,unchanged,0
0,-64.35081537790192,-14.997373668375412,2016-02-12,0.0,0.0005690249381586909,-0.007012894377112389,0.0,0.20644333958625793,-0.01923401653766632,0.004689013585448265,0.0,0.001036828150972724,0.20460771243594966,unchanged,0
0,-64.35081537790192,-14.997373668375412,2016-02-18,0.0,0.0005690249381586909,-0.007012894377112389,0.0,0.20644333958625793,-0.01923401653766632,0.004689013585448265,0.0,0.001036828150972724,0.2046320920248667,unchanged,0
0,-64.35081537790192,-14.997373668375412,2016-02-24,0.0,0.0005690249381586909,-0.007012894377112389,0.0,0.20644333958625793,-0.01923401653766632,0.004689013585448265,0.0,0.001036828150972724,0.20458154041921192,unchanged,0
0,-64.35081537790192,-14.997373668375412,2016-03-01,0.0,0.0005690249381586909,-0.007012894377112389,0.0,0.20644333958625793,-0.01923401653766632,0.004689013585448265,0.0,0.001036828150972724,0.20441704182540588,unchanged,0
0,-64.35081537790192,-14.997373668375412,2016-03-07,0.0,0.0005690249381586909,-0.007012894377112389,0.0,0.20644333958625793,-0.01923401653766632,0.004689013585448265,0.0,0.001036828150972724,0.2041098257533297,unchanged,0
0,-64.35081537790192,-14.997373668375412,2016-03-13,0.18686999380588531,0.0005690249381586909,-0.007012894377112389,0.0,0.20644333958625793,-0.01923401653766632,0.004689013585448265,0.0,0.001036828150972724,0.20364259452385455,unchanged,0
0,-64.35081537790192,-14.997373668375412,2016-03-19,0.0,0.0005690249381586909,-0.007012894377112389,0.0,0.20644333958625793,-0.01923401653766632,0.004689013585448265,0.0,0.001036828150972724,0.20301021861842847,unchanged,0
0,-64.35081537790192,-14.997373668375412,2016-03-25,0.20265500247478485,0.0005690249381586909,-0.007012894377112389,0.0,0.20644333958625793,-0.01923401653766632,0.004689013585448265,0.0,0.001036828150972724,0.2022209622883202,unchanged,0
0,-64.35081537790192,-14.997373668375412,2016-03-31,0.0,0.0005690249381586909,-0.007012894377112389,0.0,0.20644333958625793,-0.01923401653766632,0.004689013585448265,0.0,0.001036828150972724,0.2012958431382646,unchanged,0
0,-64.35081537790192,-14.997373668375412,2016-04-06,0.20111499726772308,0.0005690249381586909,-0.007012894377112389,0.0,0.20644333958625793,-0.01923401653766632,0.004689013585448265,0.0,0.001036828150972724,0.2002681329747179,unchanged,0
0,-64.35081537790192,-14.997373668375412,2016-04-12,0.0,0.0005690249381586909,-0.007012894377112389,0.0,0.20644333958625793,-0.01923401653766632,0.004689013585448265,0.0,0.001036828150972724,0.1991815199060541,unchanged,0
0,-64.35081537790192,-14.997373668375412,2016-04-18,0.0,0.0005690249381586909,-0.007012894377112389,0.0,0.20644333958625793,-0.01923401653766632,0.004689013585448265,0.0,0.001036828150972724,0.19808901768697207,unchanged,0
0,-64.35081537790192,-14.997373668375412,2016-04-24,0.0,0.0005690249381586909,-0.007012894377112389,0.0,0.20644333958625793,-0.01923401653766632,0.004689013585448265,0.0,0.001036828150972724,0.197050276209325,unchanged,0
0,-64.35081537790192,-14.997373668375412,2016-04-30,0.0,0.0005690249381586909,-0.007012894377112389,0.0,0.20644333958625793,-0.01923401653766632,0.004689013585448265,0.0,0.001036828150972724,0.19612855432418916,unchanged,0
